Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,corporate giving pledge,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,ceo philanthropy,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,corporate philanthropy platform,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,ceo giving back,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,founder giving pledge,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,corporate donation platform,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,company giving back,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,publish corporate giving,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,executive philanthropy,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,corporate social responsibility platform,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,ceo donates to charity,Phrase match
Keyword,Add,Enabled,gift.ceo - Seats - CA UK EU AE,CEO giving,gift ceo,Phrase match
